aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
0.012016586,-0.002783939,0.012280726,0.011185526,-0.120834974,-0.019985329,0.085508515,0.742537459,-0.14051129,0.017405845,0.122986037,0.760537315,0,1,0,0
-0.002272979,-0.000792782,0.001039602,0.03107308,-0.186344614,-0.032074302,0.092903846,0.743230772,-0.142822331,0.00262228,0.191620584,0.762509884,0,0,1,0
-0.002554801,-0.001109967,0.001004239,0.032074302,-0.18529646,-0.032813485,0.092903846,0.743230772,-0.142822331,0.002961115,0.190893134,0.762509884,0,0,1,0
-0.002325663,-0.001444834,0.00126874,0.032172077,-0.184964023,-0.03386555,0.099605865,0.73976421,-0.144671164,0.003017768,0.190771892,0.760330297,0,0,1,0
-0.002184932,-0.001233377,0.001233377,0.032504514,-0.184701984,-0.034076746,0.101685802,0.740457523,-0.145364476,0.002795847,0.19061154,0.761411962,0,0,1,0
-0.002449073,-0.001039602,0.001039602,0.033935949,-0.183841559,-0.03443656,0.101685802,0.740457523,-0.145364476,0.00285647,0.190091374,0.761411962,0,0,1,0
-0.002783939,-0.00102192,0.001233377,0.034197987,-0.183935423,-0.032981659,0.103996843,0.73976421,-0.147675517,0.003211905,0.189974043,0.761494904,0,0,1,0
-0.002396389,-0.001163012,0.001286061,0.035246142,-0.184318704,-0.033599601,0.105845676,0.739302002,-0.146519997,0.002957868,0.190642828,0.761077438,0,0,1,0
-0.002149569,-0.001638609,0.001251059,0.039039834,-0.183532588,-0.034127589,0.110929966,0.73860869,-0.141435707,0.002978436,0.190717138,0.760165977,0,0,1,0
-0.002572483,-0.001198014,0.001215696,0.039563911,-0.182339726,-0.035531646,0.110929966,0.73860869,-0.141435707,0.003087051,0.189934933,0.760165977,0,0,1,0
-0.002149569,-0.001215696,0.001109967,0.039466136,-0.182339726,-0.034174521,0.111854382,0.736528753,-0.13935577,0.00270744,0.189665072,0.757895796,0,0,1,0
-0.002431391,-0.001092286,0.000933874,0.040471269,-0.182531366,-0.035723286,0.114627631,0.736528753,-0.138893562,0.002824354,0.190345591,0.758225243,0,0,1,0
-0.002396389,-0.001198014,0.001462515,0.040709841,-0.183434812,-0.035222675,0.117400881,0.733986608,-0.133347063,0.00305241,0.191170816,0.755182592,0,0,1,0
-0.002466754,-0.001198014,0.00075778,0.041304317,-0.182218484,-0.035938393,0.117400881,0.733986608,-0.133347063,0.002844922,0.19026737,0.755182592,0,0,1,0
-0.002889668,-0.000845827,0.001092286,0.042399403,-0.183055443,-0.034698598,0.114627631,0.736066545,-0.129649398,0.003202883,0.191076952,0.756136508,0,0,1,0
-0.002537119,-0.001356787,0.00075778,0.042211674,-0.181647475,-0.035054501,0.114627631,0.736066545,-0.129649398,0.002975188,0.189755026,0.756136508,0,0,1,0
-0.002272979,-0.001286061,0.001092286,0.043404536,-0.182269328,-0.035652888,0.114627631,0.736066545,-0.129649398,0.002830849,0.190728871,0.756136508,0,0,1,0
-0.002502117,-0.001955794,0.001004239,0.043905147,-0.182171552,-0.035293074,0.115552048,0.733986608,-0.124334003,0.003330623,0.190681939,0.753357525,0,0,1,0
-0.002625166,-0.001303742,0.001074965,0.045571243,-0.181909513,-0.035723286,0.116707568,0.735142128,-0.122716275,0.003122053,0.190904867,0.754396374,0,0,1,0
-0.002854305,-0.001321424,0.001039602,0.045047166,-0.180740117,-0.036345139,0.115783152,0.735373233,-0.121791858,0.003312581,0.189782403,0.754329362,0,0,1,0
