aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
-40.04,418.95,-897.95,-0.49,0.43,0.06,144,217.65,-68.25,991.6836726,0.654675492,269.7509685,0,1,0,0
-43.95,426.27,-914.06,-1.16,0.79,-1.16,144.15,218.25,-67.95,1009.526324,1.820796529,270.2396853,0,0,1,0
-33.2,424.8,-920.9,1.16,-1.34,1.4,144.15,218.25,-67.95,1014.699014,2.258583627,270.2396853,0,0,1,0
-39.06,434.57,-922.85,1.22,0,1.95,143.1,218.55,-67.65,1020.798164,2.300195644,269.8485409,0,0,1,0
-36.62,432.62,-922.36,1.16,0,-0.73,144.9,218.25,-70.2,1019.435657,1.370583817,271.2141451,0,0,1,0
-38.57,427.73,-912.6,0.79,0.91,0.55,144.75,218.7,-68.55,1008.602676,1.324650897,271.0744455,0,0,1,0
-35.64,438.48,-910.16,0.79,-0.98,1.28,144.75,218.7,-68.55,1010.903628,1.795243716,271.0744455,0,0,1,0
-40.04,434.57,-900.88,-0.98,0.18,-2.68,141.3,219.6,-67.5,1001.019011,2.859230666,269.7148494,0,0,1,0
-40.04,431.64,-909.67,2.32,-0.24,0.85,141.3,219.6,-67.5,1007.678421,2.482438317,269.7148494,0,0,1,0
-32.23,422.85,-911.13,0.37,-0.3,0.55,142.8,218.4,-67.5,1004.986951,0.727598791,269.530425,0,0,1,0
-42.97,433.59,-908.69,0.73,0.24,1.71,142.8,218.4,-67.5,1007.752065,1.874726647,269.530425,0,0,1,0
-40.04,430.18,-904.3,2.38,-1.34,-1.52,143.7,219.75,-67.2,1002.205829,3.125763907,271.0269221,0,0,1,0
-40.04,436.04,-922.36,-0.24,2.07,0.12,143.25,219.15,-69.6,1021.020104,2.087318854,270.9085547,0,0,1,0
-41.5,431.64,-904.79,1.65,-0.98,1.28,141.75,218.4,-68.85,1003.334582,2.306794312,269.3175542,0,0,1,0
-48.83,430.66,-900.88,0.24,-1.1,-1.34,141.75,218.4,-68.85,999.7185498,1.750199989,269.3175542,0,0,1,0
-43.46,429.2,-912.6,0.91,0.24,-1.77,142.5,218.7,-68.55,1009.425664,2.004644607,269.8796815,0,0,1,0
-42.97,432.13,-910.64,-0.79,0,-2.13,142.65,218.55,-67.95,1008.884516,2.27178344,269.6856086,0,0,1,0
-46.88,432.62,-908.2,2.68,1.04,-2.07,142.65,218.55,-67.95,1007.067544,3.54244266,269.6856086,0,0,1,0
-48.83,423.83,-913.57,1.16,-0.43,2.38,144.15,220.5,-69.15,1008.278921,2.682331076,272.3622496,0,0,1,0
-41.99,436.52,-904.3,-0.18,4.7,2.01,143.25,216.9,-68.25,1005.023065,5.11492913,268.7456697,0,0,1,0
-44.43,429.2,-909.67,1.52,0.24,-0.3,142.8,217.95,-67.5,1006.819832,1.567801008,269.16592,0,0,1,0
-41.02,429.69,-912.11,0,-0.55,1.34,143.4,219.75,-68.4,1009.089089,1.448481964,271.1681812,0,0,1,0
-39.06,421.88,-903.32,1.71,0.79,-2.32,143.55,217.95,-68.55,997.7451781,2.988410949,269.8294044,0,0,1,0
-26.86,417.97,-922.36,0.91,-0.43,0.67,143.55,217.95,-68.55,1012.999679,1.209090567,269.8294044,0,0,1,0
-43.95,429.69,-921.39,-1.34,2.2,-2.26,143.4,217.35,-69.15,1017.607307,3.426835275,269.4184571,0,0,1,0
-53.71,428.71,-908.69,-0.79,-1.52,-3.48,143.55,219.9,-68.55,1006.178187,3.87877558,271.4069177,1,0,0,0
-40.53,427.25,-914.06,-0.91,1.52,-1.59,144.15,220.5,-69.45,1009.797468,2.38046214,272.4385711,1,0,0,0
-34.67,436.52,-908.2,-0.24,0.12,-0.98,144.15,220.5,-69.45,1008.255404,1.016070864,272.4385711,1,0,0,0
