,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone,isRoll_p,isGrasp_p,isDrop_p,isNone_p
0,0.360618154,-0.281790492,-0.034626193,0.149148682,-0.234317149,0.159587012,0.532164948,0.739466976,-0.311850454,0.458966565,0.320340241,0.962944259,0,0,0,1,1,8.32E-09,4.23E-28,3.03E-19
1,0.354088949,-0.285273627,-0.051390729,0.097528282,-0.285314366,0.303334767,0.528575302,0.737223448,-0.30287634,0.457603576,0.427700869,0.956359943,0,0,0,1,1,1.78E-09,2.37E-27,1.21E-18
2,0.358878816,-0.284185426,-0.054004195,0.059514063,-0.302711583,0.408497051,0.533062359,0.741710505,-0.309606926,0.46094665,0.511904354,0.964440978,0,0,0,1,1,8.35E-10,1.10E-25,4.16E-17
3,0.378475351,-0.248908097,0.001743797,-0.205183302,-0.406575568,0.47024419,0.533062359,0.741710505,-0.309606926,0.452992133,0.654624685,0.964440978,0,0,0,1,1,2.72E-09,4.05E-26,4.13E-16
4,0.421374546,-0.223210502,-0.036802595,-0.328054395,-0.482915596,0.497144962,0.535305888,0.738120859,-0.309606926,0.478261296,0.766798717,0.962928473,0,0,0,1,1,2.90E-08,3.77E-28,7.43E-16
5,0.447941809,-0.230832367,-0.08884892,-0.355266759,-0.450302305,0.573173399,0.539344239,0.743505328,-0.30915822,0.511692854,0.810872605,0.969160041,0,0,0,1,0.99999976,2.30E-07,8.34E-31,8.82E-16
6,0.416366146,-0.280916364,-0.094508457,-0.301465215,-0.347373096,0.56616258,0.539344239,0.743505328,-0.30915822,0.51108377,0.729444591,0.969160041,0,0,0,1,0.9999995,5.29E-07,7.21E-34,3.95E-16
7,0.41680321,-0.300949962,-0.082315256,-0.215985156,-0.277732295,0.483850372,0.539344239,0.743505328,-0.30915822,0.520645366,0.598244095,0.969160041,0,0,0,1,0.9999982,1.84E-06,1.75E-37,4.42E-17
8,0.407874612,-0.304870161,-0.077088324,-0.122559502,-0.25363585,0.281834922,0.534857182,0.747992384,-0.304671163,0.515024391,0.39847572,0.968704976,0,0,0,1,0.99997413,2.59E-05,0,3.69E-19
9,0.388710682,-0.320332424,-0.069247926,-0.104175577,-0.242574336,0.26693044,0.534408476,0.749787207,-0.301978929,0.508433016,0.375428714,0.969001831,0,0,0,1,0.9998512,0.000148797,0,1.31E-21
10,0.403735881,-0.361492282,-0.07970179,-0.094672022,-0.211519005,0.304321475,0.535754593,0.756069087,-0.30915822,0.547751501,0.382510969,0.976858359,0,0,0,1,0.99987435,0.000125621,0,6.40E-24
11,0.419198144,-0.372597282,-0.098428655,-0.036715919,-0.152939717,0.376818536,0.535305888,0.755620381,-0.306465986,0.569424287,0.40832686,0.975415785,0,0,0,1,0.99997866,2.13E-05,0,8.75E-26
12,0.389798883,-0.381307349,-0.091243854,-0.002544668,-0.122871094,0.37588376,0.539792944,0.753376853,-0.311850454,0.552868795,0.395464767,0.977856744,0,0,0,1,0.99999774,2.29E-06,0,4.93E-27
